[Connect DataFile][1.1]
Date:;04/06/2025
Time:;14:48:53,583
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:14,500;286,8;446,0;462,6;472,9;494,4;
00:00:14,550;278,8;454,0;463,2;471,5;491,5;
00:00:14,600;174,9;442,9;463,2;470,8;491,2;
00:00:14,650;242,6;437,1;462,1;469,9;489,5;
00:00:14,700;371,4;429,9;453,6;462,7;482,3;
00:00:14,750;410,3;438,0;465,5;476,7;482,0;
00:00:14,800;260,8;465,6;468,7;485,8;472,3;
00:00:14,850;419,1;466,8;478,7;478,5;437,3;
00:00:14,900;439,1;472,9;486,1;459,3;221,3;
00:00:14,950;456,7;471,5;401,2;219,6;141,3;
00:00:15,000;242,5;256,4;152,5;139,2;135,7;
00:00:15,050;188,2;196,7;144,2;136,0;133,1;
00:00:15,100;133,9;136,9;135,9;132,8;130,5;
00:00:15,150;133,1;135,2;135,2;133,9;129,7;
00:00:15,200;132,2;134,4;133,9;132,5;129,5;
00:00:15,250;131,3;133,6;132,6;131,0;129,2;
00:00:15,300;131,3;133,3;133,1;133,1;131,0;
00:00:15,350;131,6;135,8;135,0;135,2;133,0;
00:00:15,400;131,8;138,2;136,9;137,2;134,9;
00:00:15,450;132,8;140,6;139,7;138,7;134,9;
00:00:15,500;269,2;314,1;312,1;295,2;155,1;
00:00:15,550;405,6;487,5;484,4;451,6;175,3;
00:00:15,600;476,2;505,4;492,9;486,8;448,6;
00:00:15,650;465,4;481,0;500,8;500,2;485,9;
00:00:15,700;442,4;459,3;474,4;503,3;490,1;
00:00:15,750;272,7;465,1;473,2;494,0;498,1;
00:00:15,800;411,9;470,2;482,5;492,2;514,5;
00:00:15,850;426,5;466,9;483,1;490,1;515,9;
00:00:15,900;426,5;466,9;483,1;490,1;515,9;
00:00:15,950;426,5;466,9;483,1;490,1;515,9;
00:00:16,000;426,5;466,9;483,1;490,1;515,9;
00:00:16,050;426,5;466,9;483,1;490,1;515,9;
00:00:16,100;426,5;466,9;483,1;490,1;515,9;
