[Connect DataFile][1.1]
Date:;03/06/2025
Time:;10:07:42,658
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:13,200;360,4;504,3;517,2;532,7;557,0;
00:00:13,250;360,4;504,3;517,2;532,7;557,0;
00:00:13,300;360,4;504,3;517,2;532,7;557,0;
00:00:13,350;360,4;504,3;517,2;532,7;557,0;
00:00:13,400;360,4;504,3;517,2;532,7;557,0;
00:00:13,450;360,4;504,3;517,2;532,7;557,0;
00:00:13,500;360,4;504,3;517,2;532,7;557,0;
00:00:13,550;360,4;504,3;517,2;532,7;557,0;
00:00:13,600;360,4;504,3;517,2;532,7;557,0;
00:00:13,650;360,4;504,3;517,2;532,7;557,0;
00:00:13,700;360,4;504,3;517,2;532,7;557,0;
00:00:13,750;360,4;504,3;517,2;532,7;557,0;
00:00:13,800;360,4;504,3;517,2;532,7;557,0;
00:00:13,850;405,3;530,9;498,8;350,8;359,2;
00:00:13,900;419,0;554,3;553,6;184,8;125,0;
00:00:13,950;573,6;572,9;562,9;559,1;171,7;
00:00:14,000;521,4;553,5;573,1;567,4;509,0;
00:00:14,050;311,3;534,2;574,8;569,7;567,5;
00:00:14,100;406,2;518,6;549,9;568,2;565,7;
00:00:14,150;456,5;526,6;542,9;571,9;564,0;
00:00:14,200;441,4;521,3;516,5;561,7;556,6;
00:00:14,250;441,3;523,4;522,7;565,0;563,0;
00:00:14,300;446,4;530,5;523,5;559,0;562,3;
00:00:14,350;423,5;525,7;517,3;552,5;558,5;
00:00:14,400;398,4;493,4;520,7;521,2;562,4;
00:00:14,450;426,2;533,7;532,8;559,2;558,3;
00:00:14,500;323,7;508,2;536,2;523,7;566,6;
00:00:14,550;396,8;513,0;536,1;527,8;569,1;
00:00:14,600;398,8;507,8;528,7;538,4;574,6;
00:00:14,650;397,7;522,1;539,2;548,4;581,2;
00:00:14,700;191,3;528,5;536,4;545,9;578,0;
00:00:14,750;390,3;512,7;526,7;535,4;570,2;
00:00:14,800;397,2;506,2;521,7;522,7;564,3;
00:00:14,850;396,2;499,2;518,9;521,6;564,9;
00:00:14,900;324,6;506,5;529,6;525,4;568,5;
00:00:14,950;394,7;495,7;523,4;516,1;560,5;
00:00:15,000;427,5;509,0;508,3;545,6;550,8;
00:00:15,050;391,5;494,3;524,4;519,8;560,6;
00:00:15,100;390,7;508,3;531,2;518,1;561,2;
00:00:15,150;424,2;522,9;526,4;562,1;557,0;
00:00:15,200;393,4;503,2;525,0;532,0;570,3;
00:00:15,250;275,4;521,4;536,3;548,4;578,9;
00:00:15,300;311,3;518,9;518,4;561,5;556,4;
00:00:15,350;369,4;510,0;522,2;532,6;567,8;
00:00:15,400;394,0;503,4;520,4;525,4;562,7;
00:00:15,450;392,7;498,1;520,4;521,5;562,3;
00:00:15,500;174,7;497,3;517,6;516,9;561,6;
00:00:15,550;388,0;502,0;528,3;519,7;561,8;
00:00:15,600;390,6;490,6;517,6;510,9;555,0;
00:00:15,650;389,2;487,2;521,7;520,9;558,9;
00:00:15,700;206,9;506,3;535,4;520,3;562,1;
00:00:15,750;381,3;502,3;526,0;517,8;559,9;
00:00:15,800;390,6;498,4;520,0;530,7;568,5;
00:00:15,850;390,6;503,9;523,4;533,6;571,1;
00:00:15,900;320,1;511,8;525,2;536,8;572,0;
00:00:15,950;387,4;500,4;518,3;523,1;561,2;
00:00:16,000;434,0;506,5;505,5;543,4;545,5;
00:00:16,050;383,6;492,5;514,4;515,4;558,7;
00:00:16,100;387,4;495,5;519,2;513,6;555,0;
00:00:16,150;302,0;507,9;511,6;537,1;549,6;
00:00:16,200;302,0;507,9;511,6;537,1;549,6;
00:00:16,250;195,5;497,2;526,8;521,3;557,8;
00:00:16,300;219,6;506,5;506,3;533,2;544,1;
00:00:16,350;382,4;498,3;519,0;511,5;555,0;
00:00:16,400;384,2;494,9;516,2;527,5;564,3;
00:00:16,450;384,2;494,9;516,2;527,5;564,3;
00:00:16,500;166,4;514,8;524,7;533,7;568,9;
00:00:16,550;377,8;503,2;517,4;526,5;561,4;
00:00:16,600;385,5;496,4;514,5;518,9;556,2;
00:00:16,650;384,1;486,7;508,4;511,7;556,0;
00:00:16,700;384,1;486,7;508,4;511,7;556,0;
00:00:16,750;372,0;492,4;517,0;508,9;553,5;
00:00:16,800;381,4;481,3;508,9;503,6;548,2;
00:00:16,850;382,4;478,3;502,3;503,2;545,8;
00:00:16,900;303,3;489,5;518,6;512,2;552,7;
00:00:16,950;303,3;489,5;518,6;512,2;552,7;
00:00:17,000;424,6;508,0;514,4;554,0;549,5;
00:00:17,050;384,0;496,5;516,8;527,8;563,5;
00:00:17,100;336,9;500,5;510,3;523,3;557,3;
00:00:17,150;359,2;497,3;511,5;521,4;556,2;
00:00:17,200;359,2;497,3;511,5;521,4;556,2;
00:00:17,250;326,5;487,4;517,6;517,3;559,0;
00:00:17,300;401,3;496,9;501,4;534,7;545,1;
00:00:17,350;329,1;486,9;510,1;506,6;550,1;
00:00:17,400;375,9;478,7;507,6;502,3;546,6;
00:00:17,450;375,9;478,7;507,6;502,3;546,6;
00:00:17,500;170,9;495,4;522,4;510,5;551,4;
00:00:17,550;370,3;491,5;514,5;500,6;544,1;
00:00:17,600;375,5;487,6;511,1;518,1;556,6;
00:00:17,650;376,0;492,4;513,6;523,9;562,1;
00:00:17,700;376,0;492,4;513,6;523,9;562,1;
00:00:17,750;332,8;495,0;508,5;519,2;556,3;
00:00:17,800;373,8;487,7;507,5;513,1;551,4;
00:00:17,850;373,7;481,3;499,0;502,0;545,1;
00:00:17,900;274,4;484,0;508,0;509,2;551,5;
00:00:17,950;274,4;484,0;508,0;509,2;551,5;
00:00:18,000;395,3;486,4;493,0;519,6;531,2;
00:00:18,050;370,1;470,8;496,8;499,4;539,4;
00:00:18,100;339,2;487,4;509,2;496,4;543,0;
00:00:18,150;349,1;507,9;507,8;540,3;537,5;
00:00:18,200;349,1;507,9;507,8;540,3;537,5;
00:00:18,250;366,9;498,2;519,5;529,3;563,6;
00:00:18,300;420,4;511,5;508,9;546,9;543,4;
00:00:18,350;273,9;496,3;508,9;518,9;554,2;
00:00:18,400;370,7;486,7;506,3;514,9;550,6;
00:00:18,450;370,7;486,7;506,3;514,9;550,6;
00:00:18,500;224,1;484,5;514,0;512,2;552,8;
00:00:18,550;340,4;483,5;507,1;502,1;545,8;
00:00:18,600;370,6;476,9;506,0;499,4;541,9;
00:00:18,650;372,8;467,9;495,0;495,2;536,5;
00:00:18,700;372,8;467,9;495,0;495,2;536,5;
00:00:18,750;272,2;487,3;512,0;502,1;542,2;
00:00:18,800;370,8;481,6;509,5;516,8;551,0;
00:00:18,850;371,5;480,6;501,7;514,0;551,0;
00:00:18,900;299,7;494,7;515,1;526,4;559,4;
00:00:18,950;299,7;494,7;515,1;526,4;559,4;
00:00:19,000;423,8;497,4;497,8;535,2;529,2;
00:00:19,050;368,3;476,6;496,8;502,0;541,3;
00:00:19,100;216,4;475,0;498,2;499,7;543,6;
00:00:19,150;340,5;497,3;496,1;531,9;533,9;
00:00:19,200;364,8;474,9;505,1;499,0;540,9;
00:00:19,250;364,4;466,9;504,4;505,5;541,0;
00:00:19,300;397,6;509,4;504,8;531,7;528,5;
00:00:19,350;275,8;484,1;511,3;498,7;539,9;
00:00:19,400;364,4;478,0;506,2;510,9;546,8;
00:00:19,450;362,8;479,6;500,8;512,5;551,0;
00:00:19,500;218,6;492,5;512,5;522,8;558,7;
00:00:19,550;335,0;488,6;496,7;508,2;547,7;
00:00:19,600;364,4;480,2;500,0;508,0;544,5;
00:00:19,650;363,4;471,8;490,3;494,0;535,4;
00:00:19,700;350,4;469,1;498,0;503,6;544,3;
00:00:19,750;273,0;476,3;496,4;497,8;537,0;
00:00:19,800;363,5;466,2;490,8;492,6;529,2;
00:00:19,850;368,6;459,7;477,1;485,7;518,2;
00:00:19,900;387,9;451,8;473,9;502,1;517,2;
00:00:19,950;193,3;332,1;481,1;503,9;497,0;
00:00:20,000;466,9;477,7;501,0;505,6;525,4;
00:00:20,050;442,6;446,9;476,0;506,4;507,4;
00:00:20,100;125,0;457,8;477,2;495,2;501,7;
00:00:20,150;125,0;483,5;497,6;511,6;515,3;
00:00:20,200;125,0;479,1;491,3;511,5;508,8;
00:00:20,250;125,0;513,2;511,5;502,1;511,2;
00:00:20,300;125,0;531,6;522,5;523,7;519,0;
00:00:20,350;125,0;367,3;426,8;522,6;525,8;
00:00:20,400;125,0;125,0;133,5;173,8;269,8;
00:00:20,450;125,0;125,0;125,0;132,3;133,9;
00:00:20,500;125,0;125,0;125,0;125,0;139,1;
00:00:20,550;125,0;125,0;125,0;125,0;126,9;
00:00:20,600;334,8;125,0;125,0;125,0;125,0;
00:00:20,650;557,4;125,0;125,0;125,0;125,0;
00:00:20,700;569,2;125,0;125,0;125,0;125,0;
00:00:20,750;541,0;146,2;125,0;125,0;125,0;
00:00:20,800;508,9;540,7;167,2;125,0;125,0;
00:00:20,850;504,7;577,7;532,1;131,3;125,0;
00:00:20,900;341,6;562,1;558,7;421,9;125,0;
00:00:20,950;483,9;535,4;560,8;555,4;537,7;
00:00:21,000;538,6;539,7;561,0;555,8;374,4;
00:00:21,050;495,3;523,3;539,7;558,0;553,4;
00:00:21,100;458,7;516,1;522,0;547,5;553,1;
00:00:21,150;433,0;546,7;542,2;571,3;562,7;
00:00:21,200;331,1;513,6;542,2;541,0;565,6;
00:00:21,250;370,8;504,7;528,6;516,1;566,8;
00:00:21,300;366,1;501,9;523,1;518,8;567,3;
00:00:21,350;361,3;499,1;517,5;521,5;567,7;
00:00:21,400;333,7;519,2;531,0;537,7;579,2;
00:00:21,450;301,5;519,2;521,4;536,2;574,8;
00:00:21,500;371,5;504,9;518,2;541,6;573,9;
00:00:21,550;367,4;506,5;510,1;530,1;563,1;
00:00:21,600;288,9;516,0;525,0;536,8;565,8;
00:00:21,650;347,4;507,1;518,9;525,8;560,0;
00:00:21,700;361,5;496,1;515,9;525,4;558,3;
00:00:21,750;357,2;496,6;513,6;518,3;553,1;
00:00:21,800;353,8;507,2;531,6;539,9;565,6;
00:00:21,850;208,7;503,5;519,5;521,9;558,9;
00:00:21,900;357,0;499,6;520,3;512,8;559,8;
00:00:21,950;356,4;509,8;526,5;534,0;575,6;
00:00:22,000;434,8;524,2;526,0;559,4;566,5;
00:00:22,050;267,5;518,4;523,5;535,2;573,7;
00:00:22,100;355,2;500,2;504,7;527,3;560,3;
00:00:22,150;328,9;505,4;511,1;530,5;561,5;
00:00:22,200;302,6;510,6;517,4;533,6;562,6;
00:00:22,250;353,0;493,5;511,2;523,4;554,1;
00:00:22,300;351,4;492,6;508,0;517,4;550,0;
00:00:22,350;349,8;491,6;504,8;511,3;545,8;
00:00:22,400;350,4;497,9;523,7;534,9;560,3;
00:00:22,450;262,6;500,9;520,5;521,7;555,7;
00:00:22,500;353,0;493,0;514,8;508,4;555,7;
00:00:22,550;356,4;488,8;508,7;509,8;557,4;
00:00:22,600;329,9;506,3;523,6;532,0;573,0;
00:00:22,650;309,9;512,2;513,0;527,1;568,9;
00:00:22,700;356,0;507,8;518,2;536,9;571,4;
00:00:22,750;350,4;497,9;502,3;524,9;558,5;
00:00:22,800;322,0;506,7;516,3;529,9;560,1;
00:00:22,850;273,2;500,8;504,4;520,7;549,4;
00:00:22,900;350,3;490,4;504,1;516,0;547,1;
00:00:22,950;345,3;491,7;515,7;527,1;554,5;
00:00:23,000;308,1;495,7;516,2;525,2;553,1;
00:00:23,050;270,8;499,6;516,7;523,3;551,7;
00:00:23,100;348,0;484,7;501,7;503,9;550,4;
00:00:23,150;409,6;498,3;515,1;545,7;558,8;
00:00:23,200;339,6;497,7;514,2;525,1;566,6;
00:00:23,250;349,4;505,3;513,6;531,4;565,9;
00:00:23,300;415,5;500,0;518,4;547,8;554,5;
00:00:23,350;347,3;494,5;499,9;523,9;556,0;
00:00:23,400;341,4;499,1;505,9;523,6;555,1;
00:00:23,450;259,6;501,8;510,7;523,1;550,3;
00:00:23,500;348,0;484,4;502,4;516,5;546,9;
00:00:23,550;343,9;484,1;496,3;502,0;536,0;
